listing_id,url,make,model,manufactured,type_of_vehicle,power,engine_cap,curb_weight,no_of_owners,mileage,price
C1015041,https://www.sgcarmart.com/listing/C1015041,volvo,s60,2014,luxury sedan,180,1969,1557,2,150300,54800
1004759,https://www.sgcarmart.com/listing/1004759,mercedes-benz,cla180,2018,luxury sedan,90,1595,1430,2,46572,114800
C1010948,https://www.sgcarmart.com/listing/C1010948,kia,cerato,2019,mid-sized sedan,93,1591,1287,1,26142,78800
1002394,https://www.sgcarmart.com/listing/1002394,honda,e,2016,mpv,129,2356,1855,2,60383,82800
1014853,https://www.sgcarmart.com/listing/1014853,mclaren,720s,2017,sports car,530,3994,1419,2,2200,800000
1004982,https://www.sgcarmart.com/listing/1004982,toyota,harrier,2015,suv,111,1986,1610,2,101000,80999
991519,https://www.sgcarmart.com/listing/991519,mitsubishi,outlander,2018,suv,110,1998,1480,1,39000,98800
1031199,https://www.sgcarmart.com/listing/1031199,ferrari,488,2017,sports car,493,3902,1565,4,22000,850000
1031322,https://www.sgcarmart.com/listing/1031322,lexus,ls500,2017,luxury sedan,310,3445,2220,1,21200,309800
981499,https://www.sgcarmart.com/listing/981499,kia,cerato,2017,mid-sized sedan,95,1591,1295,1,55000,55777
1008972,https://www.sgcarmart.com/listing/1008972,toyota,corolla,2010,mid-sized sedan,80,1598,1195,3,115334,30900
1000333,https://www.sgcarmart.com/listing/1000333,bmw,523i,2010,luxury sedan,150,2497,1650,5,138000,74500
1019626,https://www.sgcarmart.com/listing/1019626,volkswagen,t-cross,2020,suv,85,999,1369,1,9000,103988
973000,https://www.sgcarmart.com/listing/973000,austin,healey,1964,unknown,99,2912,1158,1,3000,215000
1001569,https://www.sgcarmart.com/listing/1001569,toyota,corolla,2008,mid-sized sedan,80,1598,1195,4,220818,45000
1024986,https://www.sgcarmart.com/listing/1024986,volkswagen,scirocco,2009,sports car,155,1984,1393,6,154000,81000
1000803,https://www.sgcarmart.com/listing/1000803,hyundai,elantra,2011,mid-sized sedan,95,1591,1267,4,104000,62800
995649,https://www.sgcarmart.com/listing/995649,toyota,camry,2018,luxury sedan,154,2487,1545,1,14000,131800
1015892,https://www.sgcarmart.com/listing/1015892,mercedes-benz,b160,2011,hatchback,70,1498,1350,1,110634,44800
1015059,https://www.sgcarmart.com/listing/1015059,mercedes-benz,e250,2011,sports car,150,1796,1725,3,103548,103800
C1024902,https://www.sgcarmart.com/listing/C1024902,mitsubishi,lancer,2007,mid-sized sedan,79,1584,1162,2,150000,11998
1026037,https://www.sgcarmart.com/listing/1026037,volkswagen,golf,2008,sports car,147,1984,1360,4,240000,85800
998403,https://www.sgcarmart.com/listing/998403,mercedes-benz,amg,2017,luxury sedan,90,1595,1430,2,80000,112000
1003522,https://www.sgcarmart.com/listing/1003522,porsche,cayenne,2011,suv,220,3598,2105,2,108000,143800
1022007,https://www.sgcarmart.com/listing/1022007,volkswagen,golf,2011,sports car,118,1390,1503,3,88000,79800
1008124,https://www.sgcarmart.com/listing/1008124,kia,cerato,2018,mid-sized sedan,93,1591,1287,1,59000,75800
1019633,https://www.sgcarmart.com/listing/1019633,lexus,gs,2010,luxury sedan,183,2995,1660,4,164000,75800
1018366,https://www.sgcarmart.com/listing/1018366,bmw,x3,2020,suv,135,1998,1685,1,26000,199800
1000732,https://www.sgcarmart.com/listing/1000732,toyota,c-hr,2018,suv,90,1797,1440,1,38178,89800
1009785,https://www.sgcarmart.com/listing/1009785,bmw,520i,2015,luxury sedan,135,1997,1615,1,45000,92800
987837,https://www.sgcarmart.com/listing/987837,mercedes-benz,c180,2015,luxury sedan,115,1595,1425,2,114660,85800
1012733,https://www.sgcarmart.com/listing/1012733,honda,freed,2018,mpv,101,1496,1430,1,22000,90888
1025979,https://www.sgcarmart.com/listing/1025979,mercedes-benz,e250,2013,luxury sedan,155,1991,1680,3,90000,74199
1010249,https://www.sgcarmart.com/listing/1010249,bmw,x3,2018,suv,185,1998,XXXXX,1,21000,176800
943919,https://www.sgcarmart.com/listing/943919,bmw,316i,2014,luxury sedan,100,1598,1405,-1,79800,51800
1025983,https://www.sgcarmart.com/listing/1025983,honda,civic,2019,mid-sized sedan,92,1597,1237,1,27000,87800
984621,https://www.sgcarmart.com/listing/984621,mazda,3,2017,mid-sized sedan,88,1496,1310,1,62164,60900
1002166,https://www.sgcarmart.com/listing/1002166,nissan,note,2020,hatchback,58,1198,1048,1,10123,71888
1006246,https://www.sgcarmart.com/listing/1006246,bmw,216i,2017,mpv,75,1499,1480,2,54977,89888
989752,https://www.sgcarmart.com/listing/989752,mercedes-benz,e250,2011,sports car,150,1796,1695,3,138000,102000
1022435,https://www.sgcarmart.com/listing/1022435,kia,cerato,2011,mid-sized sedan,91,1591,1261,2,120000,63800
997319,https://www.sgcarmart.com/listing/997319,audi,a4,2019,luxury sedan,140,1984,1480,1,41000,121777
1021378,https://www.sgcarmart.com/listing/1021378,mini,cooper,2011,sports car,135,1598,1230,6,101000,83200
1020051,https://www.sgcarmart.com/listing/1020051,toyota,wish,2009,mpv,106,1797,1340,5,172000,28800
1010238,https://www.sgcarmart.com/listing/1010238,bmw,318i,2015,luxury sedan,100,1499,1425,6,84000,68800
1019567,https://www.sgcarmart.com/listing/1019567,honda,civic,2017,mid-sized sedan,92,1597,1249,2,50000,66800
994943,https://www.sgcarmart.com/listing/994943,toyota,wish,2011,mpv,106,1798,1360,2,143425,69800
1021285,https://www.sgcarmart.com/listing/1021285,honda,civic,2015,mid-sized sedan,92,1598,1225,1,88396,50800
1028369,https://www.sgcarmart.com/listing/1028369,nissan,sylphy,2016,mid-sized sedan,85,1598,1205,1,69000,49388
1010924,https://www.sgcarmart.com/listing/1010924,toyota,camry,2016,luxury sedan,133,2494,1475,2,55000,67000
1020282,https://www.sgcarmart.com/listing/1020282,bmw,730li,2017,luxury sedan,190,1998,1720,1,50030,189800
1019322,https://www.sgcarmart.com/listing/1019322,toyota,harrier,2018,suv,170,1998,1695,2,65234,107800
972860,https://www.sgcarmart.com/listing/972860,infiniti,q50,2018,luxury sedan,155,1991,1644,1,29000,122000
1011988,https://www.sgcarmart.com/listing/1011988,mercedes-benz,amg,2019,suv,286,2999,XXXXX,1,17000,328800
1018791,https://www.sgcarmart.com/listing/1018791,mercedes-benz,cla180,2016,luxury sedan,90,1595,1430,1,60780,101800
991185,https://www.sgcarmart.com/listing/991185,mitsubishi,outlander,2017,suv,110,1998,1480,2,66000,82800
1028067,https://www.sgcarmart.com/listing/1028067,lamborghini,urus,2018,suv,478,3996,2320,1,29000,807777
1026643,https://www.sgcarmart.com/listing/1026643,hyundai,elantra,2016,mid-sized sedan,93,1591,1345,1,50000,42555
1006114,https://www.sgcarmart.com/listing/1006114,mercedes-benz,amg,2016,suv,150,2143,1845,2,77000,145000
987279,https://www.sgcarmart.com/listing/987279,volkswagen,jetta,2011,mid-sized sedan,90,1390,1417,2,112000,65800
1026072,https://www.sgcarmart.com/listing/1026072,mercedes-benz,b200,2013,hatchback,115,1595,1425,1,10300,89800
992192,https://www.sgcarmart.com/listing/992192,daihatsu,terios,2007,suv,77,1495,1190,2,127500,17300
1027723,https://www.sgcarmart.com/listing/1027723,honda,e,2016,mpv,129,2356,1769,2,63000,85800
1015558,https://www.sgcarmart.com/listing/1015558,bmw,m4,2019,sports car,250,2998,1535,2,5900,268800
1027389,https://www.sgcarmart.com/listing/1027389,honda,crossroad,2008,suv,103,1799,1410,3,222138,21800
1012891,https://www.sgcarmart.com/listing/1012891,honda,civic,2018,mid-sized sedan,92,1597,XXXXX,2,45000,78000
1024535,https://www.sgcarmart.com/listing/1024535,volkswagen,polo,2017,hatchback,66,1197,1139,1,42550,59800
1024450,https://www.sgcarmart.com/listing/1024450,toyota,vios,2009,mid-sized sedan,80,1497,1095,6,170000,20800
993390,https://www.sgcarmart.com/listing/993390,volkswagen,golf,2014,hatchback,90,1395,1249,3,82000,37888
1001680,https://www.sgcarmart.com/listing/1001680,honda,civic,2018,mid-sized sedan,92,1597,1249,1,42000,82188
985151,https://www.sgcarmart.com/listing/985151,toyota,corolla,2011,mid-sized sedan,90,1598,1195,2,110865,37800
827494,https://www.sgcarmart.com/listing/827494,lexus,rx,2116,suv,175,1998,2070,1,120585,148800
1008254,https://www.sgcarmart.com/listing/1008254,honda,shuttle,2016,stationwagon,97,1496,1130,2,62000,54800
1028330,https://www.sgcarmart.com/listing/1028330,mercedes-benz,amg,2016,sports car,135,1991,1525,2,67000,114800
1004710,https://www.sgcarmart.com/listing/1004710,hyundai,elantra,2016,mid-sized sedan,93,1591,1345,1,62000,59800
995626,https://www.sgcarmart.com/listing/995626,toyota,voxy,2018,mpv,100,1797,1620,1,50000,116000
1029331,https://www.sgcarmart.com/listing/1029331,bmw,530i,2020,luxury sedan,187,1998,1625,1,6800,273800
1006727,https://www.sgcarmart.com/listing/1006727,volkswagen,sharan,2017,mpv,162,1984,1790,2,71000,101800
1025136,https://www.sgcarmart.com/listing/1025136,mercedes-benz,e200,2017,luxury sedan,135,1991,1605,1,65000,149800
1012988,https://www.sgcarmart.com/listing/1012988,toyota,corolla,2009,mid-sized sedan,80,1598,1195,2,113000,49800
1016138,https://www.sgcarmart.com/listing/1016138,bmw,520d,2013,luxury sedan,135,1995,1700,1,119000,62000
1025196,https://www.sgcarmart.com/listing/1025196,jaguar,xe,2016,luxury sedan,132,1999,1574,1,83000,76800
1001950,https://www.sgcarmart.com/listing/1001950,mazda,3,2015,mid-sized sedan,88,1496,1321,1,66668,46500
1013452,https://www.sgcarmart.com/listing/1013452,honda,vezel,2019,suv,96,1496,1190,-1,28882,83888
1030820,https://www.sgcarmart.com/listing/1030820,porsche,boxster,2009,sports car,188,2893,1440,2,74690,148800
1006520,https://www.sgcarmart.com/listing/1006520,toyota,prius,2017,hatchback,90,1798,1375,1,59120,73800
999178,https://www.sgcarmart.com/listing/999178,hyundai,avante,2019,mid-sized sedan,93,1591,1345,1,30800,76800
1023575,https://www.sgcarmart.com/listing/1023575,ferrari,sf90,2021,sports car,735,3990,1775,1,150,2388777
1015984,https://www.sgcarmart.com/listing/1015984,toyota,alphard,2015,mpv,134,2493,2030,1,90000,105000
1022392,https://www.sgcarmart.com/listing/1022392,honda,freed,2018,mpv,101,1496,1430,2,31000,96800
981795,https://www.sgcarmart.com/listing/981795,mazda,2,2015,mpv,111,1998,1535,2,90000,54800
1026181,https://www.sgcarmart.com/listing/1026181,audi,a4,2016,luxury sedan,110,1395,1450,1,96740,79800
1010552,https://www.sgcarmart.com/listing/1010552,bmw,x1,2020,suv,141,1998,1485,1,23918,156800
1022845,https://www.sgcarmart.com/listing/1022845,toyota,wish,2008,mpv,97,1794,1310,2,149221,19800
1026420,https://www.sgcarmart.com/listing/1026420,mazda,rx-8,2010,sports car,158,1308,1407,-1,77835,79998
1022618,https://www.sgcarmart.com/listing/1022618,toyota,wish,2017,mpv,105,1798,1355,1,62000,76800
1011261,https://www.sgcarmart.com/listing/1011261,toyota,harrier,2019,suv,170,1998,1695,1,27500,125800
1025490,https://www.sgcarmart.com/listing/1025490,bmw,x3,2017,suv,135,1997,1680,1,56295,123800
988206,https://www.sgcarmart.com/listing/988206,honda,civic,2016,sports car,228,1996,1461,3,43500,143555
1011047,https://www.sgcarmart.com/listing/1011047,subaru,forester,2015,suv,110,1995,1566,1,40900,50900
1015858,https://www.sgcarmart.com/listing/1015858,toyota,vellfire,2016,mpv,134,2493,2030,3,65000,110800
1025760,https://www.sgcarmart.com/listing/1025760,toyota,vios,2015,mid-sized sedan,80,1497,1045,3,59000,48600
992572,https://www.sgcarmart.com/listing/992572,mazda,2,2015,mid-sized sedan,85,1496,1079,1,68000,46800
1023404,https://www.sgcarmart.com/listing/1023404,honda,jazz,2018,hatchback,73,1318,1052,1,47000,66800
1029718,https://www.sgcarmart.com/listing/1029718,toyota,harrier,2016,suv,111,1986,1610,2,52000,91000
1025460,https://www.sgcarmart.com/listing/1025460,toyota,c-hr,2018,suv,85,1197,1385,1,45000,84800
1017066,https://www.sgcarmart.com/listing/1017066,mercedes-benz,gla180,2019,suv,90,1595,1435,1,87000,121800
1016574,https://www.sgcarmart.com/listing/1016574,toyota,corolla,2010,mid-sized sedan,80,1598,1195,3,190000,75000
1014810,https://www.sgcarmart.com/listing/1014810,kia,carens,2018,mpv,104,1685,1525,1,60000,79000
1026192,https://www.sgcarmart.com/listing/1026192,mercedes-benz,a180,2018,hatchback,100,1332,1365,1,30100,107800
1029811,https://www.sgcarmart.com/listing/1029811,honda,vezel,2016,suv,96,1496,1190,1,64000,54800
994085,https://www.sgcarmart.com/listing/994085,audi,a3,2015,luxury sedan,92,1395,1310,3,111000,74000
1008295,https://www.sgcarmart.com/listing/1008295,chevrolet,cruze,2016,mid-sized sedan,86,1598,1413,1,52000,53777
1030724,https://www.sgcarmart.com/listing/1030724,mazda,3,2016,mid-sized sedan,88,1496,1321,1,69875,47800
1021232,https://www.sgcarmart.com/listing/1021232,lamborghini,aventador,2011,sports car,515,6498,1690,4,31000,658800
1009647,https://www.sgcarmart.com/listing/1009647,honda,shuttle,2018,stationwagon,101,1496,1190,1,56400,71800
1015577,https://www.sgcarmart.com/listing/1015577,mitsubishi,lancer,2008,mid-sized sedan,80,1499,1313,3,183000,13800
982384,https://www.sgcarmart.com/listing/982384,lexus,es,2015,luxury sedan,135,2494,1615,2,85000,92800
997411,https://www.sgcarmart.com/listing/997411,mercedes-benz,glc250,2018,suv,155,1991,1735,1,41000,175000
1019335,https://www.sgcarmart.com/listing/1019335,toyota,vellfire,2008,mpv,206,3456,2030,5,121339,69800
1029732,https://www.sgcarmart.com/listing/1029732,honda,vezel,2016,suv,96,1496,1190,2,46000,52800
1023135,https://www.sgcarmart.com/listing/1023135,bmw,520i,2015,luxury sedan,135,1997,1615,-1,87258,89900
1014596,https://www.sgcarmart.com/listing/1014596,infiniti,qx30,2018,suv,155,1991,1540,2,47000,106800
1027138,https://www.sgcarmart.com/listing/1027138,honda,vezel,2015,suv,96,1496,1190,2,76520,45800
1010624,https://www.sgcarmart.com/listing/1010624,lexus,es,2016,luxury sedan,135,2494,1615,1,76000,100700
1021708,https://www.sgcarmart.com/listing/1021708,honda,shuttle,2019,stationwagon,97,1496,1130,1,30000,74800
1008311,https://www.sgcarmart.com/listing/1008311,porsche,cayenne,2020,suv,250,2995,2105,1,38,419988
1001173,https://www.sgcarmart.com/listing/1001173,bmw,320i,2010,sports car,115,1995,1390,3,140000,70888
1011671,https://www.sgcarmart.com/listing/1011671,bmw,220i,2016,sports car,135,1997,1365,1,106000,98800
1027476,https://www.sgcarmart.com/listing/1027476,bmw,316i,2014,luxury sedan,100,1598,1405,2,95000,56777
972353,https://www.sgcarmart.com/listing/972353,mercedes-benz,c180,2012,luxury sedan,115,1597,1500,2,135000,37500
995699,https://www.sgcarmart.com/listing/995699,honda,odyssey,2015,mpv,140,2356,1810,2,85000,89800
1027714,https://www.sgcarmart.com/listing/1027714,mazda,2,2014,hatchback,85,1496,1036,1,67000,38800
984250,https://www.sgcarmart.com/listing/984250,toyota,noah,2019,mpv,100,1797,1610,1,30000,116800
1009035,https://www.sgcarmart.com/listing/1009035,kia,cerato,2019,mid-sized sedan,93,1591,1287,2,19988,85800
999800,https://www.sgcarmart.com/listing/999800,honda,grace,2018,mid-sized sedan,101,1496,1170,1,17000,86500
963750,https://www.sgcarmart.com/listing/963750,volkswagen,passat,2019,luxury sedan,132,1798,1480,1,9000,120988
1027937,https://www.sgcarmart.com/listing/1027937,lexus,nx,2018,suv,175,1998,1755,1,40000,146888
993033,https://www.sgcarmart.com/listing/993033,honda,city,2018,mid-sized sedan,88,1497,1096,1,31181,69800
1024808,https://www.sgcarmart.com/listing/1024808,nissan,qashqai,2015,suv,85,1197,1285,2,80500,50800
995477,https://www.sgcarmart.com/listing/995477,kia,cerato,2019,mid-sized sedan,93,1591,1287,1,31700,83000
1020505,https://www.sgcarmart.com/listing/1020505,toyota,camry,2016,luxury sedan,133,2494,1475,1,78000,76800
1010324,https://www.sgcarmart.com/listing/1010324,bmw,216i,2019,hatchback,80,1499,1380,-1,34000,111800
1028655,https://www.sgcarmart.com/listing/1028655,mazda,2,2019,hatchback,85,1496,1067,1,8100,85800
C1019213,https://www.sgcarmart.com/listing/C1019213,honda,shuttle,2118,stationwagon,101,1496,1190,1,45888,71800
1007492,https://www.sgcarmart.com/listing/1007492,bmw,216i,2019,mpv,80,1499,1490,2,9000,127500
1026416,https://www.sgcarmart.com/listing/1026416,honda,civic,2017,mid-sized sedan,92,1597,1249,1,25573,69800
1017624,https://www.sgcarmart.com/listing/1017624,mini,cooper,2011,hatchback,90,1598,1105,3,98000,23500
990413,https://www.sgcarmart.com/listing/990413,mercedes-benz,c200,2017,luxury sedan,135,1991,1465,1,85000,127800
1026323,https://www.sgcarmart.com/listing/1026323,mercedes-benz,a250,2015,hatchback,160,1991,1455,1,40000,99800
1019460,https://www.sgcarmart.com/listing/1019460,toyota,estima,2116,mpv,125,2362,1790,1,28126,124800
1023801,https://www.sgcarmart.com/listing/1023801,mazda,3,2017,mid-sized sedan,88,1496,1331,1,102363,57588
C988905,https://www.sgcarmart.com/listing/C988905,bmw,x5,2014,suv,225,2979,2030,1,78000,156800
1024103,https://www.sgcarmart.com/listing/1024103,mitsubishi,evolution,2007,sports car,206,1998,1520,4,61000,136800
1026139,https://www.sgcarmart.com/listing/1026139,porsche,macan,2021,suv,185,1984,1795,1,10000,338000
1016919,https://www.sgcarmart.com/listing/1016919,mazda,2,2018,suv,115,1998,1290,1,43000,77800
1016000,https://www.sgcarmart.com/listing/1016000,subaru,outback,2016,suv,129,2498,1684,3,98985,68800
1028117,https://www.sgcarmart.com/listing/1028117,honda,jazz,2018,hatchback,96,1498,1088,1,23000,75800
1028137,https://www.sgcarmart.com/listing/1028137,mercedes-benz,e200,2016,luxury sedan,135,1991,1605,1,78000,148800
1022782,https://www.sgcarmart.com/listing/1022782,bmw,520i,2013,luxury sedan,135,1997,1615,2,92000,75500
965850,https://www.sgcarmart.com/listing/965850,bmw,activehybrid,2012,luxury sedan,250,2979,1850,3,97000,41800
1026739,https://www.sgcarmart.com/listing/1026739,bmw,640i,2013,luxury sedan,235,2979,1750,3,74000,126800
1026345,https://www.sgcarmart.com/listing/1026345,honda,airwave,2008,stationwagon,81,1496,1160,4,163000,21300
C1004203,https://www.sgcarmart.com/listing/C1004203,mercedes-benz,c180,2011,luxury sedan,115,1597,1500,2,125000,76800
1024155,https://www.sgcarmart.com/listing/1024155,toyota,vios,2020,mid-sized sedan,79,1496,1100,1,15000,80800
988076,https://www.sgcarmart.com/listing/988076,toyota,prius,2018,hatchback,90,1797,1360,1,22000,95988
1014951,https://www.sgcarmart.com/listing/1014951,mercedes-benz,sl350,2004,sports car,180,3724,1695,3,56200,61800
1011471,https://www.sgcarmart.com/listing/1011471,nissan,latio,2008,mid-sized sedan,80,1498,1130,2,190000,46900
1007296,https://www.sgcarmart.com/listing/1007296,toyota,previa,2009,mpv,125,2362,1795,3,190000,56800
1021927,https://www.sgcarmart.com/listing/1021927,kia,cerato,2115,mid-sized sedan,95,1591,1295,1,56686,47800
1020354,https://www.sgcarmart.com/listing/1020354,toyota,corolla,2016,mid-sized sedan,90,1598,1215,1,70000,66800
1029218,https://www.sgcarmart.com/listing/1029218,toyota,allion,2008,mid-sized sedan,81,1496,1200,5,172556,12500
988238,https://www.sgcarmart.com/listing/988238,bmw,528i,2015,luxury sedan,180,1997,1845,2,102502,121800
1026747,https://www.sgcarmart.com/listing/1026747,mitsubishi,outlander,2019,suv,110,1998,1480,1,39001,106800
1014233,https://www.sgcarmart.com/listing/1014233,lexus,es,2018,luxury sedan,152,2487,1620,2,32049,140800
1020869,https://www.sgcarmart.com/listing/1020869,mercedes-benz,e250,2014,luxury sedan,155,1991,1680,1,75000,78800
1027268,https://www.sgcarmart.com/listing/1027268,volkswagen,golf,2008,sports car,184,3189,1617,6,129000,78000
1004245,https://www.sgcarmart.com/listing/1004245,bmw,m5,2014,sports car,280,2993,XXXXX,1,66800,189000
1029046,https://www.sgcarmart.com/listing/1029046,mazda,3,2019,mid-sized sedan,88,1496,1385,1,8200,88800
1017670,https://www.sgcarmart.com/listing/1017670,hyundai,accent,2018,mid-sized sedan,73,1368,1115,1,6700,52888
1004308,https://www.sgcarmart.com/listing/1004308,mercedes-benz,amg,2120,sports car,430,3982,1650,1,88,971800
1014783,https://www.sgcarmart.com/listing/1014783,mercedes-benz,coupe,2012,sports car,150,1796,1575,3,130000,101000
1014044,https://www.sgcarmart.com/listing/1014044,lexus,es,2017,luxury sedan,135,2494,1615,2,64500,120800
1016946,https://www.sgcarmart.com/listing/1016946,hyundai,tucson,2008,suv,104,1975,1468,3,141677,15588
1015832,https://www.sgcarmart.com/listing/1015832,mazda,2,2008,hatchback,77,1498,1038,2,185800,19199
1028535,https://www.sgcarmart.com/listing/1028535,lexus,gs,2015,luxury sedan,180,1998,1665,1,108888,118800
1009049,https://www.sgcarmart.com/listing/1009049,mercedes-benz,amg,2019,luxury sedan,336,2999,1945,1,19000,317000
1015570,https://www.sgcarmart.com/listing/1015570,honda,accord,2006,luxury sedan,114,1998,1370,-1,280000,38888
1011641,https://www.sgcarmart.com/listing/1011641,audi,q3,2016,suv,110,1395,1480,1,32000,87800
1027216,https://www.sgcarmart.com/listing/1027216,honda,civic,2017,mid-sized sedan,92,1597,1249,1,39486,73888
978269,https://www.sgcarmart.com/listing/978269,toyota,estima,2006,mpv,125,2362,1770,5,162129,44800
1009689,https://www.sgcarmart.com/listing/1009689,skoda,kodiaq,2019,suv,110,1395,1572,1,18505,116800
1030174,https://www.sgcarmart.com/listing/1030174,honda,civic,2008,mid-sized sedan,103,1799,1219,5,260258,15500
1018396,https://www.sgcarmart.com/listing/1018396,volkswagen,golf,2009,sports car,155,1984,1339,2,121000,70000
1023798,https://www.sgcarmart.com/listing/1023798,honda,accord,2008,luxury sedan,114,1998,1370,4,182570,20500
980568,https://www.sgcarmart.com/listing/980568,hyundai,veloster,2016,hatchback,97,1591,1210,1,23100,48800
1018260,https://www.sgcarmart.com/listing/1018260,volkswagen,golf,2013,sports car,162,1984,1370,3,105000,118800
1013350,https://www.sgcarmart.com/listing/1013350,suzuki,jimny,2021,suv,75,1462,1110,1,7500,108800
1010511,https://www.sgcarmart.com/listing/1010511,mercedes-benz,c160,2020,luxury sedan,95,1497,1505,1,19178,157800
1007284,https://www.sgcarmart.com/listing/1007284,mazda,3,2017,mid-sized sedan,88,1496,1310,2,69000,60800
1023774,https://www.sgcarmart.com/listing/1023774,hyundai,elantra,2016,mid-sized sedan,93,1591,1345,1,61008,54800
987801,https://www.sgcarmart.com/listing/987801,volkswagen,scirocco,2011,sports car,118,1390,1285,3,181000,72800
1009613,https://www.sgcarmart.com/listing/1009613,maserati,quattroporte,2015,luxury sedan,202,2987,1945,1,50000,239800
1023864,https://www.sgcarmart.com/listing/1023864,honda,vezel,2015,suv,96,1496,1190,1,79438,53800
977911,https://www.sgcarmart.com/listing/977911,mercedes-benz,e200,2015,luxury sedan,135,1991,1655,2,68375,110000
1029598,https://www.sgcarmart.com/listing/1029598,mercedes-benz,b200,2019,hatchback,120,1332,1410,1,11300,161888
1016249,https://www.sgcarmart.com/listing/1016249,honda,stream,2008,mpv,103,1799,1350,5,137000,46988
1005899,https://www.sgcarmart.com/listing/1005899,bmw,x3,2018,suv,135,1998,1660,1,66000,161800
1018555,https://www.sgcarmart.com/listing/1018555,volkswagen,golf,2011,sports car,155,1984,1339,3,94500,93800
1028810,https://www.sgcarmart.com/listing/1028810,subaru,impreza,2007,sports car,169,2457,1405,6,214233,23000
946353,https://www.sgcarmart.com/listing/946353,toyota,ist,2006,hatchback,64,1298,1000,1,132201,38800
1023000,https://www.sgcarmart.com/listing/1023000,toyota,harrier,2018,suv,170,1998,1695,1,41000,113800
1005104,https://www.sgcarmart.com/listing/1005104,mercedes-benz,e200,2014,luxury sedan,135,1991,1655,1,94300,71800
1021071,https://www.sgcarmart.com/listing/1021071,audi,q5,2018,suv,185,1984,1795,1,43183,166800
1030083,https://www.sgcarmart.com/listing/1030083,bmw,640i,2011,sports car,235,2979,1840,3,86230,133800
1030377,https://www.sgcarmart.com/listing/1030377,audi,a4,2020,luxury sedan,110,1984,1515,1,8400,151999
1019347,https://www.sgcarmart.com/listing/1019347,mercedes-benz,e200,2019,luxury sedan,145,1991,1640,1,41638,191800
1027005,https://www.sgcarmart.com/listing/1027005,toyota,wish,2010,mpv,106,1987,1380,4,109000,28800
1002241,https://www.sgcarmart.com/listing/1002241,ford,mustang,2018,sports car,331,5038,1893,2,27000,218800
1020504,https://www.sgcarmart.com/listing/1020504,kia,rio,2006,mid-sized sedan,69,1399,1176,4,143000,12200
1024704,https://www.sgcarmart.com/listing/1024704,toyota,corolla,2015,mid-sized sedan,90,1598,1205,1,85832,55888
1015720,https://www.sgcarmart.com/listing/1015720,mini,cooper,2015,sports car,141,1998,1240,3,86000,66800
985642,https://www.sgcarmart.com/listing/985642,toyota,alphard,2020,mpv,134,2493,2030,1,20,228800
1017141,https://www.sgcarmart.com/listing/1017141,bmw,528i,2011,luxury sedan,180,1997,1620,3,100000,118888
984659,https://www.sgcarmart.com/listing/984659,mazda,3,2015,hatchback,88,1496,1324,2,112746,41800
974145,https://www.sgcarmart.com/listing/974145,alfa romeo,giulietta,2013,hatchback,125,1368,1310,3,105000,44999
1030737,https://www.sgcarmart.com/listing/1030737,mercedes-benz,c180,2016,sports car,115,1595,1475,1,46220,116800
