listing_id,url,make,model,manufactured,reg_date,type_of_vehicle,eco_category,transmission,power,engine_cap,curb_weight,no_of_owners,mileage,price
1029840,https://www.sgcarmart.com/listing/1029840,mercedes-benz,s600l,2007,12-jul-2007,luxury sedan,uncategorized,auto,380,5514,2135,3,133472,75888
1025979,https://www.sgcarmart.com/listing/1025979,mercedes-benz,e250,2013,03-jan-2014,luxury sedan,uncategorized,auto,155,1991,1680,3,90000,74199
985281,https://www.sgcarmart.com/listing/985281,mercedes-benz,c200,2018,09-sep-2019,luxury_sedan,uncategorized,auto,145,1497,1530,1,19709,157800
1027869,https://www.sgcarmart.com/listing/1027869,bentley,continental,2014,18-jun-2015,sports car,uncategorized,auto,373,3993,2295,2,23800,408000
1025504,https://www.sgcarmart.com/listing/1025504,Honda,vezel,2015,08-jan-2016,suv,uncategorized,auto,96,1496,1190,1,56300,48800
982107,https://www.sgcarmart.com/listing/982107,Mazda,3,2018,30-apr-2018,mid-sized sedan,uncategorized,auto,88,1496,1310,1,33000,70500
1024876,https://www.sgcarmart.com/listing/1024876,Porsche,boxster,2009,23-jul-2009,sports car,uncategorized,auto,188,2893,1440,1,23000,135000
987201,https://www.sgcarmart.com/listing/987201,ssangyong,tivoli,2016,16-nov-2016,suv,uncategorized,auto,94,1597,1420,1,49129,61900
1029536,https://www.sgcarmart.com/listing/1029536,mercedes-benz,a200,2019,28-jul-2021,luxury sedan,uncategorized,auto,120,1332,1461,1,3200,148000
1001793,https://www.sgcarmart.com/listing/1001793,honda,city,2016,16-feb-2017,mid-sized sedan,uncategorized,auto,88,1497,1096,2,62000,55800
1005677,https://www.sgcarmart.com/listing/1005677,toyota,prius,2016,15-sep-2016,hatchback,uncategorized,auto,90,1798,1375,1,67991,62888
1022731,https://www.sgcarmart.com/listing/1022731,hyundai,elantra,2018,18-jun-2018,mid-sized sedan,uncategorized,auto,93,1591,1345,1,53000,68800
1023657,https://www.sgcarmart.com/listing/1023657,bmw,530i,2017,29-aug-2017,luxury sedan,uncategorized,auto,185,1998,1540,2,41000,157800
1014054,https://www.sgcarmart.com/listing/1014054,Nissan,sylphy,2015,21-apr-2016,mid-sized_sedan,uncategorized,auto,85,1598,1205,1,49257,51800
996257,https://www.sgcarmart.com/listing/996257,audi,a4,2014,23-jun-2014,luxury sedan,uncategorized,auto,125,1798,1545,3,94400,51500
1029409,https://www.sgcarmart.com/listing/1029409,mercedes-benz,amg,2016,14-nov-2016,luxury sedan,uncategorized,auto,143,1950,1680,1,112000,134800
1030980,https://www.sgcarmart.com/listing/1030980,audi,q2,2017,09-jun-2017,suv,uncategorized,auto,85,999,1315,1,64000,85800
1024606,https://www.sgcarmart.com/listing/1024606,toyota,wish,2009,10-sep-2009,mpv,uncategorized,auto,106,1797,1340,4,166000,57777
1027565,https://www.sgcarmart.com/listing/1027565,toyota,corolla,2012,12-nov-2012,mid-sized_sedan,uncategorized,auto,90,1598,1195,2,144847,22900
1019997,https://www.sgcarmart.com/listing/1019997,Volkswagen,passat,2015,11-jan-2016,luxury sedan,uncategorized,auto,132,1798,1480,2,54800,66777
976516,https://www.sgcarmart.com/listing/976516,Mercedes-Benz,c180,2013,04-oct-2013,sports_car,uncategorized,auto,115,1595,1505,1,69000,55800
1030092,https://www.sgcarmart.com/listing/1030092,rolls-royce,ghost,2010,20-oct-2010,luxury_sedan,uncategorized,auto,420,6592,2360,5,26000,418000
997893,https://www.sgcarmart.com/listing/997893,bmw,528i,2014,28-nov-2014,luxury sedan,uncategorized,auto,180,1997,1615,1,138721,91888
1022583,https://www.sgcarmart.com/listing/1022583,bmw,218i,2014,27-feb-2015,hatchback,uncategorized,auto,100,1499,1360,2,93888,51800
1028068,https://www.sgcarmart.com/listing/1028068,Mercedes-Benz,s320l,2018,08-oct-2018,luxury sedan,uncategorized,auto,200,2996,1940,2,28319,282200
981499,https://www.sgcarmart.com/listing/981499,kia,cerato,2017,18-jul-2017,mid-sized sedan,uncategorized,auto,95,1591,1295,1,55000,55777
1024865,https://www.sgcarmart.com/listing/1024865,mazda,3,2017,18-aug-2017,hatchback,uncategorized,auto,88,1496,1329,1,80000,65800
1005957,https://www.sgcarmart.com/listing/1005957,toyota,estima,2006,27-jul-2006,mpv,uncategorized,auto,125,2362,1710,3,177250,42800
1009726,https://www.sgcarmart.com/listing/1009726,honda,civic,2008,17-jul-2009,mid-sized sedan,uncategorized,auto,103,1799,1219,3,170000,54988
1030329,https://www.sgcarmart.com/listing/1030329,honda,civic,2009,05-sep-2011,mid-sized sedan,uncategorized,auto,92,1595,1220,3,99000,67800
1014024,https://www.sgcarmart.com/listing/1014024,toyota,corolla,2007,06-sep-2007,stationwagon,uncategorized,auto,81,1496,1200,2,138000,10800
1019986,https://www.sgcarmart.com/listing/1019986,toyota,camry,2019,25-apr-2019,luxury sedan,uncategorized,auto,154,2487,1545,1,20313,115800
993966,https://www.sgcarmart.com/listing/993966,kia,soul,2011,11-may-2011,hatchback,uncategorized,auto,92,1591,1287,2,104000,38800
1024843,https://www.sgcarmart.com/listing/1024843,toyota,prius,2020,01-oct-2020,mpv,uncategorized,auto,100,1798,1500,1,8500,116800
1024279,https://www.sgcarmart.com/listing/1024279,volkswagen,golf,2009,08-jan-2010,hatchback,uncategorized,auto,90,1390,1241,2,109052,72800
1006254,https://www.sgcarmart.com/listing/1006254,volkswagen,golf,2020,13-jul-2020,sports car,uncategorized,auto,169,1984,1408,1,6200,166200
1020520,https://www.sgcarmart.com/listing/1020520,mercedes-benz,amg,2017,28-mar-2018,suv,uncategorized,auto,155,1991,1735,1,60839,161500
1027688,https://www.sgcarmart.com/listing/1027688,lotus,elise,2011,25-nov-2011,sports car,uncategorized,manual,100,1598,891,6,40000,153888
1027217,https://www.sgcarmart.com/listing/1027217,mazda,2,2016,21-dec-2016,suv,uncategorized,auto,121,1998,1528,1,81273,79888
992182,https://www.sgcarmart.com/listing/992182,Volkswagen,jetta,2011,27-oct-2011,mid-sized sedan,uncategorized,auto,90,1390,1417,2,111235,39000
1008685,https://www.sgcarmart.com/listing/1008685,bmw,m3,2010,25-jan-2011,sports car,uncategorized,auto,308,3999,1625,3,176000,158800
1022830,https://www.sgcarmart.com/listing/1022830,jaguar,xj,2005,08-aug-2005,luxury sedan,uncategorized,auto,179,2967,1569,1,163000,130000
1029629,https://www.sgcarmart.com/listing/1029629,Suzuki,swift,2009,04-jun-2009,hatchback,uncategorized,auto,92,1586,1100,3,208000,53000
954364,https://www.sgcarmart.com/listing/954364,mitsubishi,outlander,2017,18-dec-2017,suv,uncategorized,auto,123,2360,1535,1,57271,78800
1009405,https://www.sgcarmart.com/listing/1009405,bentley,continental,2014,18-jun-2015,sports car,uncategorized,auto,373,3993,2295,2,22000,399800
1030311,https://www.sgcarmart.com/listing/1030311,bmw,216d,2018,27-apr-2018,hatchback,uncategorized,auto,85,1496,1395,1,108000,85000
1004679,https://www.sgcarmart.com/listing/1004679,audi,a5,2017,11-oct-2017,luxury sedan,uncategorized,auto,140,1984,1535,1,30000,128800
1017206,https://www.sgcarmart.com/listing/1017206,bmw,116d,2015,14-sep-2015,hatchback,uncategorized,auto,85,1496,1350,1,85000,57800
1025102,https://www.sgcarmart.com/listing/1025102,bmw,730li,2016,15-jul-2016,luxury sedan,uncategorized,auto,190,1998,1720,2,69100,160000
1029275,https://www.sgcarmart.com/listing/1029275,kia,cerato,2010,30-sep-2010,mid-sized sedan,uncategorized,auto,92,1591,1251,3,129000,25988
980451,https://www.sgcarmart.com/listing/980451,mitsubishi,lancer,2009,27-aug-2009,mid-sized sedan,uncategorized,manual,79,1584,1162,5,121000,55800
1024586,https://www.sgcarmart.com/listing/1024586,toyota,c-hr,2017,29-aug-2017,suv,uncategorized,auto,90,1797,1440,2,67850,73800
1028680,https://www.sgcarmart.com/listing/1028680,volkswagen,scirocco,2012,07-jun-2012,sports car,uncategorized,auto,118,1390,1285,4,112000,26988
949999,https://www.sgcarmart.com/listing/949999,volvo,s90,2019,27-jun-2019,luxury sedan,uncategorized,auto,187,1969,1695,1,19500,156777
959178,https://www.sgcarmart.com/listing/959178,porsche,911,2020,06-jan-2021,sports car,uncategorized,auto,331,2981,1590,1,652,619988
1024822,https://www.sgcarmart.com/listing/1024822,bmw,118i,2012,27-apr-2012,hatchback,uncategorized,auto,125,1598,1315,4,115000,79800
998322,https://www.sgcarmart.com/listing/998322,nissan,qashqai,2018,22-mar-2019,suv,uncategorized,auto,85,1197,1325,1,45000,85800
1022110,https://www.sgcarmart.com/listing/1022110,mercedes-benz,e250,2010,05-aug-2010,sports car,uncategorized,auto,150,1796,1695,2,137854,114800
1030946,https://www.sgcarmart.com/listing/1030946,mercedes-benz,c180,2017,20-jun-2017,luxury sedan,uncategorized,auto,115,1595,1425,2,40000,112838
1016187,https://www.sgcarmart.com/listing/1016187,skoda,octavia,2018,31-jan-2019,mid-sized_sedan,uncategorized,auto,180,1984,1577,1,37000,115000
1011383,https://www.sgcarmart.com/listing/1011383,Mercedes-Benz,c180,2017,27-jul-2017,luxury sedan,uncategorized,auto,115,1595,1425,1,36764,115988
1025906,https://www.sgcarmart.com/listing/1025906,Hyundai,elantra,2017,27-jul-2017,mid-sized sedan,uncategorized,auto,93,1591,1345,1,40000,59800
1017082,https://www.sgcarmart.com/listing/1017082,toyota,corolla,2015,28-jul-2015,mid-sized_sedan,uncategorized,auto,90,1598,1205,1,95000,51800
1020964,https://www.sgcarmart.com/listing/1020964,bmw,640i,2013,18-dec-2013,sports car,uncategorized,auto,235,2979,1660,1,57500,115800
1028629,https://www.sgcarmart.com/listing/1028629,hyundai,i30,2008,10-may-2008,hatchback,uncategorized,auto,89,1591,1314,5,163231,12500
1017736,https://www.sgcarmart.com/listing/1017736,mitsubishi,attrage,2016,27-jun-2016,mid-sized sedan,uncategorized,auto,57,1193,940,3,83788,41800
992324,https://www.sgcarmart.com/listing/992324,toyota,corolla,2017,19-dec-2017,mid-sized sedan,uncategorized,auto,96,1598,1230,1,48921,74800
1030869,https://www.sgcarmart.com/listing/1030869,porsche,macan,2017,15-dec-2017,suv,uncategorized,auto,185,1984,1845,1,55000,213800
1004485,https://www.sgcarmart.com/listing/1004485,volvo,v40,2014,26-feb-2015,hatchback,uncategorized,auto,84,1560,1427,3,104632,42800
1022599,https://www.sgcarmart.com/listing/1022599,hyundai,avante,2019,17-oct-2019,mid-sized sedan,uncategorized,auto,93,1591,1345,1,15424,71800
1006520,https://www.sgcarmart.com/listing/1006520,toyota,prius,2017,23-nov-2017,hatchback,uncategorized,auto,90,1798,1375,99999,59120,73800
1023659,https://www.sgcarmart.com/listing/1023659,audi,a3,2019,18-mar-2019,luxury sedan,uncategorized,auto,85,999,1280,1,35000,94800
1021056,https://www.sgcarmart.com/listing/1021056,Mazda,2,2014,24-sep-2014,mpv,uncategorized,auto,111,1998,1535,1,70533,39800
1010729,https://www.sgcarmart.com/listing/1010729,toyota,previa,2019,28-oct-2020,mpv,uncategorized,auto,125,2362,1775,1,28000,152000
987928,https://www.sgcarmart.com/listing/987928,Toyota,vitz,2017,15-sep-2017,hatchback,uncategorized,auto,73,1496,1100,2,79000,56300
1004209,https://www.sgcarmart.com/listing/1004209,bmw,m5,2018,28-jun-2018,sports car,uncategorized,auto,441,4395,1855,2,14000,378800
1026404,https://www.sgcarmart.com/listing/1026404,bmw,318i,2016,23-aug-2016,luxury sedan,uncategorized,auto,100,1499,1425,1,90000,79777
1003413,https://www.sgcarmart.com/listing/1003413,audi,q3,2114,30-sep-2014,suv,uncategorized,auto,110,1395,1480,2,90000,57777
1006336,https://www.sgcarmart.com/listing/1006336,honda,vezel,2018,09-may-2019,suv,uncategorized,auto,96,1496,1190,1,20266,81000
1010001,https://www.sgcarmart.com/listing/1010001,Kia,cerato,2016,30-mar-2017,mid-sized sedan,uncategorized,auto,95,1591,1295,1,40000,56800
1022133,https://www.sgcarmart.com/listing/1022133,toyota,corolla,2019,11-dec-2019,mid-sized sedan,uncategorized,auto,96,1598,1230,1,26234,86888
1024980,https://www.sgcarmart.com/listing/1024980,honda,jazz,2008,05-apr-2010,hatchback,uncategorized,auto,88,1497,1115,2,109500,58500
1021368,https://www.sgcarmart.com/listing/1021368,Honda,accord,2008,17-jun-2008,luxury sedan,uncategorized,auto,133,2354,1550,2,248000,42000
981862,https://www.sgcarmart.com/listing/981862,Toyota,sienta,2017,20-apr-2017,mpv,uncategorized,auto,79,1496,1325,1,91000,65699
1014173,https://www.sgcarmart.com/listing/1014173,honda,vezel,2018,06-aug-2018,suv,uncategorized,auto,96,1496,1190,1,34564,81800
1010414,https://www.sgcarmart.com/listing/1010414,toyota,c-hr,2018,08-may-2018,suv,uncategorized,auto,90,1797,1440,1,37112,85800
1015483,https://www.sgcarmart.com/listing/1015483,Subaru,impreza,2117,07-nov-2017,hatchback,uncategorized,auto,84,1600,1431,2,78566,68800
1018869,https://www.sgcarmart.com/listing/1018869,Honda,shuttle,2018,07-dec-2018,stationwagon,uncategorized,auto,101,1496,1190,1,33000,77888
1025011,https://www.sgcarmart.com/listing/1025011,jaguar,xe,2017,28-feb-2018,luxury sedan,uncategorized,auto,147,1998,1679,1,60000,99800
927771,https://www.sgcarmart.com/listing/927771,honda,stepwagon,2018,11-sep-2020,mpv,uncategorized,auto,110,1496,1740,1,88,173988
1021678,https://www.sgcarmart.com/listing/1021678,lexus,es,2019,30-sep-2019,luxury sedan,uncategorized,auto,152,2487,1620,1,13000,175000
986014,https://www.sgcarmart.com/listing/986014,honda,fit,2019,20-jan-2020,hatchback,uncategorized,auto,73,1317,1030,1,5000,70888
1017679,https://www.sgcarmart.com/listing/1017679,honda,fit,2019,14-jul-2020,hatchback,uncategorized,auto,73,1317,1030,1,14000,71800
1027470,https://www.sgcarmart.com/listing/1027470,bmw,530i,2017,29-aug-2017,luxury sedan,uncategorized,auto,185,1998,1540,1,56000,155777
1018508,https://www.sgcarmart.com/listing/1018508,Mercedes-Benz,coupe,2017,15-dec-2017,sports car,uncategorized,auto,135,1991,1655,1,12790,182800
960722,https://www.sgcarmart.com/listing/960722,mercedes-benz,sl350,2008,30-dec-2009,sports car,uncategorized,auto,232,3498,1825,6,72000,97000
1019531,https://www.sgcarmart.com/listing/1019531,toyota,wish,2017,31-oct-2017,mpv,uncategorized,auto,105,1798,1355,1,14877,76800
986672,https://www.sgcarmart.com/listing/986672,mercedes-benz,slk280,2008,12-jun-2008,sports car,uncategorized,auto,170,2997,1385,3,98000,73888
1019123,https://www.sgcarmart.com/listing/1019123,Subaru,forester,2016,27-sep-2016,suv,uncategorized,auto,177,1998,1682,1,55000,73800
1026492,https://www.sgcarmart.com/listing/1026492,mazda,2,2015,19-jan-2016,luxury sedan,uncategorized,auto,141,2488,1513,2,74816,64800
1024658,https://www.sgcarmart.com/listing/1024658,Kia,cerato,2018,25-oct-2018,mid-sized sedan,uncategorized,auto,93,1591,1287,1,61000,70500
1011052,https://www.sgcarmart.com/listing/1011052,ssangyong,tivoli,2020,30-apr-2020,suv,uncategorized,auto,96,1597,1425,1,18447,96900
1023707,https://www.sgcarmart.com/listing/1023707,mazda,2,2015,28-aug-2015,mpv,uncategorized,auto,111,1998,1535,3,104000,47800
960945,https://www.sgcarmart.com/listing/960945,peugeot,508,2012,13-aug-2012,stationwagon,uncategorized,auto,115,1598,1430,3,129500,26500
993862,https://www.sgcarmart.com/listing/993862,bmw,528i,2012,14-jun-2012,luxury sedan,uncategorized,auto,180,1997,1620,99999,126238,108800
959379,https://www.sgcarmart.com/listing/959379,seat,toledo,2019,30-sep-2020,mid-sized sedan,uncategorized,auto,92,1395,1227,1,8978,79000
1015343,https://www.sgcarmart.com/listing/1015343,bmw,328i,2014,30-sep-2014,luxury sedan,uncategorized,auto,180,1997,1455,2,92000,88000
1024725,https://www.sgcarmart.com/listing/1024725,Audi,q3,2020,30-nov-2020,suv,uncategorized,auto,110,1395,1545,1,16000,148800
1010286,https://www.sgcarmart.com/listing/1010286,Honda,vezel,2016,05-oct-2016,suv,uncategorized,auto,96,1496,1190,3,73000,51800
1012841,https://www.sgcarmart.com/listing/1012841,subaru,levorg,2016,31-oct-2016,stationwagon,uncategorized,auto,125,1600,1630,1,97000,76800
997561,https://www.sgcarmart.com/listing/997561,honda,e,2015,09-sep-2015,mpv,uncategorized,auto,129,2356,1855,1,74605,71800
1027877,https://www.sgcarmart.com/listing/1027877,bmw,335i,2012,30-apr-2012,luxury sedan,uncategorized,auto,225,2979,1520,5,137000,57000
1027949,https://www.sgcarmart.com/listing/1027949,toyota,mark,2107,17-may-2007,luxury sedan,uncategorized,auto,158,2499,1500,3,205700,8800
982101,https://www.sgcarmart.com/listing/982101,Honda,freed,2019,09-jan-2020,mpv,uncategorized,auto,96,1496,1360,1,19238,95800
1029917,https://www.sgcarmart.com/listing/1029917,porsche,911,2012,01-jun-2012,sports car,uncategorized,auto,257,3436,1475,2,91000,268000
1021711,https://www.sgcarmart.com/listing/1021711,hyundai,avante,2019,12-apr-2019,mid-sized sedan,uncategorized,auto,93,1591,1345,1,19900,72800
993373,https://www.sgcarmart.com/listing/993373,Volkswagen,golf,2015,23-sep-2016,sports car,uncategorized,auto,162,1984,1370,2,90000,108888
1004980,https://www.sgcarmart.com/listing/1004980,suzuki,swift,2007,07-may-2007,hatchback,uncategorized,manual,92,1586,1060,6,165000,6700
1026671,https://www.sgcarmart.com/listing/1026671,kia,cerato,2009,14-jan-2010,sports car,uncategorized,manual,92,1591,1207,6,160000,24500
996637,https://www.sgcarmart.com/listing/996637,Mitsubishi,attrage,2018,26-apr-2018,mid-sized sedan,uncategorized,auto,59,1193,940,3,57766,50800
1022153,https://www.sgcarmart.com/listing/1022153,audi,a4,2015,18-feb-2016,luxury_sedan,uncategorized,auto,110,1395,1450,1,78475,73800
1017754,https://www.sgcarmart.com/listing/1017754,subaru,brz,2013,31-dec-2013,sports car,uncategorized,auto,147,1998,1253,3,113200,55000
1016799,https://www.sgcarmart.com/listing/1016799,toyota,harrier,2015,13-jun-2016,suv,uncategorized,auto,111,1986,1610,1,71000,75800
1019632,https://www.sgcarmart.com/listing/1019632,Honda,jazz,2019,13-may-2019,hatchback,uncategorized,auto,73,1318,1052,1,32387,67800
1017569,https://www.sgcarmart.com/listing/1017569,mini,cooper,2010,16-jun-2010,hatchback,uncategorized,auto,90,1598,1105,4,120000,57988
1030728,https://www.sgcarmart.com/listing/1030728,porsche,911,2010,17-aug-2011,sports car,uncategorized,auto,254,3614,1530,5,103188,258800
1017540,https://www.sgcarmart.com/listing/1017540,mercedes-benz,c180,2012,11-jun-2012,luxury sedan,uncategorized,auto,115,1597,1500,2,94000,81500
1003791,https://www.sgcarmart.com/listing/1003791,kia,carens,2018,09-jul-2018,mpv,uncategorized,auto,104,1685,1525,1,51000,81500
1018823,https://www.sgcarmart.com/listing/1018823,audi,a3,2018,26-oct-2018,luxury sedan,uncategorized,auto,85,999,1280,1,16200,80800
1024155,https://www.sgcarmart.com/listing/1024155,toyota,vios,2020,02-mar-2020,mid-sized sedan,uncategorized,auto,79,1496,1100,1,15000,80800
1029799,https://www.sgcarmart.com/listing/1029799,honda,jazz,2009,23-sep-2010,hatchback,uncategorized,auto,73,1339,1090,3,139000,32800
1019679,https://www.sgcarmart.com/listing/1019679,ferrari,gtc4lusso,2019,11-nov-2019,sports_car,uncategorized,auto,449,3855,1865,1,6800,890000
1010630,https://www.sgcarmart.com/listing/1010630,hyundai,elantra,2017,06-oct-2017,mid-sized sedan,uncategorized,auto,93,1591,1345,1,79000,58700
1027337,https://www.sgcarmart.com/listing/1027337,mini,one,2017,21-dec-2017,hatchback,uncategorized,auto,75,1198,1175,2,57089,84888
1020934,https://www.sgcarmart.com/listing/1020934,Honda,civic,2009,08-sep-2010,mid-sized sedan,uncategorized,auto,103,1799,1219,4,157000,33800
1021605,https://www.sgcarmart.com/listing/1021605,Hyundai,avante,2019,24-sep-2019,mid-sized sedan,uncategorized,auto,93,1591,1345,1,25221,75800
1023639,https://www.sgcarmart.com/listing/1023639,honda,shuttle,2019,24-may-2019,stationwagon,uncategorized,auto,97,1496,1130,1,12228,77800
1013287,https://www.sgcarmart.com/listing/1013287,Honda,vezel,2015,16-jun-2015,suv,uncategorized,auto,96,1496,1190,2,89488,45800
1010752,https://www.sgcarmart.com/listing/1010752,Mercedes-Benz,c180,2018,24-jul-2018,luxury sedan,uncategorized,auto,115,1595,1425,1,87000,122800
1025797,https://www.sgcarmart.com/listing/1025797,toyota,rush,2008,12-nov-2008,suv,uncategorized,auto,80,1495,1150,2,108900,18800
994239,https://www.sgcarmart.com/listing/994239,Toyota,c-hr,2018,25-may-2018,suv,uncategorized,auto,90,1797,1440,2,51000,73988
1015657,https://www.sgcarmart.com/listing/1015657,mercedes-benz,slk250,2013,02-may-2013,sports car,uncategorized,auto,150,1796,1500,1,157257,215000
1023690,https://www.sgcarmart.com/listing/1023690,honda,e,2014,27-aug-2014,mpv,uncategorized,auto,129,2356,1855,1,89269,57800
1020498,https://www.sgcarmart.com/listing/1020498,lexus,nx,2018,27-aug-2018,suv,uncategorized,auto,175,1998,1755,1,11500,148800
1011490,https://www.sgcarmart.com/listing/1011490,toyota,corolla,2015,22-mar-2016,mid-sized sedan,uncategorized,auto,90,1598,1205,99999,107000,53800
990931,https://www.sgcarmart.com/listing/990931,bmw,225xe,2020,30-oct-2020,hatchback,uncategorized,auto,165,1499,1675,1,7259,138800
999533,https://www.sgcarmart.com/listing/999533,mercedes-benz,b180,2015,20-jul-2016,hatchback,uncategorized,auto,90,1595,1425,1,53873,75988
1026468,https://www.sgcarmart.com/listing/1026468,mercedes-benz,s320l,2017,22-sep-2017,luxury sedan,uncategorized,auto,200,2996,1940,1,69985,229800
995383,https://www.sgcarmart.com/listing/995383,toyota,corolla,2015,04-may-2015,mid-sized sedan,uncategorized,auto,90,1598,1205,1,193710,43888
1028834,https://www.sgcarmart.com/listing/1028834,opel,insignia,2016,21-jun-2016,luxury sedan,uncategorized,auto,125,1598,1589,1,78000,61800
998594,https://www.sgcarmart.com/listing/998594,toyota,corolla,2115,18-dec-2015,mid-sized sedan,uncategorized,auto,90,1598,1205,2,117950,53800
1018324,https://www.sgcarmart.com/listing/1018324,bmw,520i,2013,10-apr-2015,luxury sedan,uncategorized,auto,135,1997,1615,3,117000,83800
982767,https://www.sgcarmart.com/listing/982767,honda,vezel,2116,25-oct-2016,suv,uncategorized,auto,96,1496,1190,1,60000,58888
947726,https://www.sgcarmart.com/listing/947726,renault,fluence,2011,09-jan-2012,mid-sized sedan,uncategorized,auto,82,1598,1315,3,138000,13988
1027891,https://www.sgcarmart.com/listing/1027891,hyundai,avante,2019,27-aug-2019,mid-sized sedan,uncategorized,auto,93,1591,1345,1,33000,70800
1025228,https://www.sgcarmart.com/listing/1025228,subaru,xv,2015,18-apr-2016,suv,uncategorized,auto,84,1600,1480,1,74882,55800
977610,https://www.sgcarmart.com/listing/977610,bmw,520i,2019,13-aug-2019,luxury sedan,uncategorized,auto,135,1998,1530,1,4900,189900
1015873,https://www.sgcarmart.com/listing/1015873,Nissan,qashqai,2017,23-mar-2018,suv,uncategorized,auto,85,1197,1325,1,60127,76800
1018684,https://www.sgcarmart.com/listing/1018684,hyundai,elantra,2016,13-apr-2016,mid-sized sedan,uncategorized,auto,93,1591,1345,2,70500,51800
979854,https://www.sgcarmart.com/listing/979854,nissan,qashqai,2017,05-apr-2018,suv,uncategorized,auto,85,1197,1325,99999,44898,78800
1007381,https://www.sgcarmart.com/listing/1007381,porsche,911,2006,26-oct-2006,sports car,uncategorized,auto,353,3600,1695,5,187000,219000
990807,https://www.sgcarmart.com/listing/990807,honda,jazz,2016,07-jul-2017,hatchback,uncategorized,auto,96,1498,1046,1,54223,59500
999547,https://www.sgcarmart.com/listing/999547,volkswagen,sharan,2017,21-mar-2017,mpv,uncategorized,auto,162,1984,1790,1,67000,95800
1004773,https://www.sgcarmart.com/listing/1004773,bmw,316i,2013,31-mar-2014,luxury sedan,uncategorized,auto,100,1598,1405,4,105000,53000
999760,https://www.sgcarmart.com/listing/999760,mercedes-benz,a45,2020,16-oct-2020,sports_car,uncategorized,auto,310,1991,1635,1,7000,270000
1022258,https://www.sgcarmart.com/listing/1022258,bmw,428i,2016,12-may-2016,sports car,uncategorized,auto,180,1997,1700,2,68000,134000
988137,https://www.sgcarmart.com/listing/988137,subaru,forester,2016,31-may-2016,suv,uncategorized,auto,110,1995,1566,1,99000,59700
1031244,https://www.sgcarmart.com/listing/1031244,bmw,x3,2020,01-apr-2021,suv,uncategorized,auto,185,1998,1755,1,3881,246800
1007933,https://www.sgcarmart.com/listing/1007933,nissan,note,2018,30-nov-2018,hatchback,uncategorized,auto,58,1198,1048,1,28992,60800
998251,https://www.sgcarmart.com/listing/998251,honda,jazz,2009,25-may-2011,hatchback,uncategorized,auto,73,1339,1060,2,103000,38800
1021080,https://www.sgcarmart.com/listing/1021080,mazda,3,2016,23-dec-2016,mid-sized sedan,uncategorized,auto,88,1496,1321,1,71436,58800
945845,https://www.sgcarmart.com/listing/945845,porsche,911,2020,01-sep-2020,sports car,uncategorized,auto,283,2981,1580,1,88,552911
976363,https://www.sgcarmart.com/listing/976363,mercedes-benz,glb200,2020,02-feb-2021,suv,uncategorized,auto,120,1332,1800,1,200,174000
